HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,Legion,1,28,37,6,36,6,2,36,26,28,11,7,26,,,250,13,,18,-13,3,37,-58,3,99,74,3,32,-29,2,64,45,2,19.23,37,1,0,0,0,0,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Bocage,Ultra,11,20,14,40,7,10,39,6,21,12,10,36,5,,,231,,,31,13,3,95,58,3,25,-74,3,61,29,2,19,-45,2,17.77,40,5,0,0,0,0,,,Breach,77,62,15,3,37,73,-36,3,51,54,-3,2,45,17,28,2,15,44,-29,2,225,250,-25,0,0,0,0,12,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Legion,,B,D,X,,A,O,X,1,B,D,X,1,A,O,X,,A,D,,1,B,O,X,1,,D,X,,A,O,X,1,B,D,X,,A,O,X,,,D,X,5,,5,2,5,2,4,1,1,1,6,3,5,3,1,0,3,2,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Legion,,X,,3,O,1,,,,,D,0,,X,,5,O,9,,,,,,,,,,,,,0,10,8,,2,0,2,0,0,0,10,0,0,8,1,0,0,0,0,0,0,5,,Breach,5,3,2,60.00%,2,0,2,2,0,0,0,14,0,0,8,3,3,0,42,2,3,3,0,5
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,64,160,-96,5,94,95,-1,4,33,152,-119,4,127,48,79,4,42,45,-3,3,360,500,-140,0,2,1,0,20,,,,,,Berlin,Ultra,1,B,O,,1,A,D,,,B,O,,,A,D,,1,A,O,X,,B,D,,,,O,,1,A,D,,,B,O,,1,A,D,,1,,O,,6,,6,3,1,1,1,1,3,1,5,3,0,0,4,3,1,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Ultra,1,,X,,D,7,1,X,,5,O,7,1,,X,,D,4,,,,,,,,,,,,,3,18,5,,1,1,1,1,0,0,7,0,1,5,2,2,11,0,2,2,0,8,,OpTic,9,6,3,66.67%,4,1,3,4,1,1,1,27,1,0,17,5,5,0,65,2,5,5,0,12
Tuscan,Legion,14,10,16,12,15,40,7,20,53,17,33,12,1,,,250,13,,87,65,3,29,-44,3,37,-28,3,65,30,2,32,-21,2,19.23,53,1,1,0,0,1,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,5,3,2,60.00%,2,0,2,1,0,0,0,12,0,0,4,3,3,0,31,3,3,3,0,4
Tuscan,Ultra,12,28,26,35,30,4,25,13,0,23,6,20,26,,,248,,,22,-65,3,73,44,3,65,28,3,35,-30,2,53,21,2,19.08,35,0,0,1,1,0,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,9,3,6,33.33%,5,5,1,4,1,0,0,0,1,1,4,2,2,4,2,0,0,1,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,4,1,3,25.00%,2,0,2,1,0,0,0,22,0,0,5,2,1,1,5,0,1,1,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,171,58,113,5,95,51,44,4,69,115,-46,4,128,34,94,4,37,50,-13,4,500,308,192,0,1,0,4,21,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,9,6,3,66.67%,4,4,2,2,0,0,0,0,1,1,5,4,1,4,3,0,0,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,5,2,3,40.00%,3,0,3,1,0,0,0,29,0,0,5,2,2,0,13,0,2,2,0,8
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,38,110,-72,3,26,53,-27,2,82,10,72,2,4,65,-61,2,45,12,33,2,195,250,-55,0,1,0,1,11,,,,,,Bocage,Ultra,1,,D,X,,,O,,,A,D,X,,A,O,,,,D,,,,O,,1,A,D,,,,O,,,,,,,,,,,,,,2,,4,0,0,0,1,0,0,0,4,2,2,1,2,1,0,0,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Thieves,,X,,3,O,1,1,X,X,,D,16,,,,1,O,11,1,X,X,,D,4,1,X,X,,D,11,3,43,4,,2,0,1,0,0,0,12,0,0,4,3,3,31,3,3,3,0,4,,Subliners,5,2,3,40.00%,3,0,3,3,0,0,0,16,0,0,10,2,2,0,12,0,2,1,1,8
Tuscan,Thieves,6,9,30,35,12,32,8,20,50,17,16,0,,,,235,12,,54,-29,3,17,-58,3,50,36,2,85,70,2,29,-34,2,19.58,50,0,1,1,0,0,,,Royal Ravens,62,77,-15,3,73,37,36,3,54,51,3,2,17,45,-28,2,44,15,29,2,250,225,25,0,0,0,0,12,,,,,,Bocage,Legion,,,O,,1,,D,X,1,A,O,,1,A,D,X,1,,O,X,1,,D,X,,A,O,X,1,,D,X,,,,,,,,,,,,,6,,4,2,2,1,2,1,0,0,4,4,4,4,1,1,0,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Guerrillas,1,,X,,D,10,,,,,O,15,1,X,X,,D,19,,,,2,O,5,,,,2,O,13,2,62,4,,3,0,0,0,0,0,33,0,0,4,2,2,29,1,2,2,0,4,,Rokkr,5,3,2,60.00%,2,0,2,2,0,0,0,1,0,0,8,3,3,0,28,0,3,3,0,10
Tuscan,Guerrillas,32,27,6,14,39,15,40,8,1,24,36,8,,,,250,,,83,29,3,75,58,3,14,-36,2,15,-70,2,63,34,2,20.83,40,1,0,0,1,1,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
