HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,Ultra,6,9,33,22,0,25,26,15,0,,,,,,,136,9,,31,-27,2,35,-24,2,48,14,2,22,-31,2,0,-46,1,15.11,33,0,0,2,0,0,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,FaZe,34,40,9,26,46,24,19,25,27,,,,,,,250,,,58,27,2,59,24,2,34,-14,2,53,31,2,46,46,1,27.78,46,9,0,0,0,2,,,Breach,150,100,50,5,127,66,61,5,106,88,18,4,85,50,35,4,32,56,-24,3,500,360,140,1,0,0,1,21,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,168,71,97,6,54,129,-75,4,96,105,-9,4,41,88,-47,4,59,47,12,4,418,440,-22,1,2,0,3,22,,,,,,Tuscan,Ultra,,B,D,,,B,O,,,A,D,,1,A,O,X,1,,D,X,,B,O,,,A,D,X,,,O,,,,,,,,,,,,,,2,,4,1,1,1,1,1,2,0,4,1,2,1,2,0,1,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,FaZe,,X,,3,O,6,1,,X,,D,2,,,,1,O,11,1,X,X,,D,23,1,X,,5,O,7,3,49,9,,3,1,2,1,0,0,24,0,1,9,2,2,25,1,2,2,0,6,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,FaZe,1,B,O,X,1,B,D,X,1,A,O,X,,A,D,,,,O,,1,B,D,X,1,A,O,,1,,D,X,,,,,,,,,,,,,6,,4,3,2,2,2,2,1,1,4,3,3,3,1,0,2,2,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Ultra,1,,X,,D,9,,X,,4,O,7,1,X,X,,D,18,,,,2,O,9,,,,,D,0,2,43,6,,2,0,1,0,0,0,16,0,0,6,3,2,27,1,2,2,0,9,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Rokkr,28,9,45,10,14,0,18,32,31,0,,,,,,187,10,,28,-36,2,27,-45,2,77,56,2,41,-9,2,14,-29,2,18.70,45,0,0,2,1,0,,,FaZe,58,76,-18,3,69,47,22,3,35,56,-21,2,34,48,-14,2,45,23,22,2,241,250,-9,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,3,3,0,100.00%,1,1,0,1,1,0,0,10,0,1,3,2,2,0,22,1,2,2,0,4
Tuscan,Royal Ravens,10,36,2,33,29,54,36,19,17,14,,,,,,250,,,64,36,2,72,45,2,21,-56,2,50,9,2,43,29,2,25.00,54,2,1,0,0,2,,,Mutineers,39,46,-7,2,3,97,-94,2,37,69,-32,2,32,26,6,2,48,12,36,2,159,250,-91,0,1,1,0,10,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,10,6,4,60.00%,3,5,4,1,1,1,2,2,1,1,5,2,3,2,2,2,0,3,2,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,5,3,2,60.00%,3,1,2,2,1,0,0,24,0,1,9,2,2,0,25,1,2,2,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,147,108,39,6,92,88,4,4,124,84,40,4,71,66,5,4,66,58,8,4,500,404,96,0,3,2,2,22,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,47,106,-59,3,62,59,3,3,72,26,46,2,13,41,-28,2,36,18,18,2,230,250,-20,0,1,1,0,12,,,,,,Desert Siege,Rokkr,,,D,,,,O,,1,,D,,,A,O,,1,,D,X,1,,O,,1,,D,X,,A,O,,1,,D,X,,A,O,,,B,O,,5,,6,1,0,0,3,0,1,0,5,4,3,3,0,0,0,0,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Royal Ravens,,X,,3,O,9,1,,X,,D,9,,X,,4,O,3,1,,X,,D,5,,,,,D,8,2,34,7,,2,0,2,0,0,0,12,0,0,7,3,2,22,0,2,2,0,12,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Rokkr,14,37,30,13,23,3,17,42,0,13,30,8,,,,230,12,,47,-59,3,62,3,3,72,46,2,13,-28,2,36,18,2,19.17,42,0,0,1,1,0,,,Royal Ravens,152,86,66,5,156,65,91,5,95,109,-14,4,67,45,22,4,30,84,-54,4,500,389,111,2,0,0,2,22,,,,,,Desert Siege,Royal Ravens,1,,O,X,1,,D,X,,,O,X,1,A,D,X,,,O,,,,D,X,,,O,,1,A,D,X,,,O,,1,A,D,X,1,B,D,X,6,,5,1,2,1,0,0,0,0,6,5,6,5,3,3,1,1,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Rokkr,1,,X,,D,15,,X,,3,O,4,1,,X,,D,5,,X,,3,O,3,1,X,X,6,O,12,3,39,12,,3,1,3,1,1,1,19,1,0,12,2,2,20,0,2,2,0,7,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Royal Ravens,35,4,17,8,5,52,26,9,33,13,19,29,,,,250,,,106,59,3,59,-3,3,26,-46,2,41,28,2,18,-18,2,20.83,52,4,1,0,0,1,,,Legion,26,90,-64,3,55,34,21,2,15,81,-66,2,72,7,65,2,22,38,-16,2,190,250,-60,0,1,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
