HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,FaZe,35,0,14,40,28,16,36,30,26,1,21,,,,,247,11,,72,32,3,36,-29,2,44,-6,2,66,44,2,29,-44,2,22.45,40,0,0,1,1,0,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,Royal Ravens,9,54,37,10,24,30,11,13,12,49,1,,,,,250,,,40,-32,3,65,29,2,50,6,2,22,-44,2,73,44,2,22.73,54,1,1,0,0,1,,,Breach,62,69,-7,3,55,26,29,2,9,90,-81,2,25,46,-21,2,46,19,27,2,197,250,-53,0,1,1,1,11,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,FaZe,1,,D,X,,A,O,X,1,,D,X,,,O,,1,A,D,X,,,O,X,,B,D,,,A,O,,1,,D,X,,,O,,,,,,4,,5,0,2,0,2,0,0,0,5,4,4,4,1,1,1,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Royal Ravens,,,X,5,O,1,,,,,D,4,,,X,3,O,2,,,,,,,,,,,,,0,7,8,,2,0,0,0,2,0,3,0,0,8,1,0,4,0,0,0,0,5,,Breach,5,3,2,60.00%,2,0,2,1,0,0,0,11,0,0,4,3,3,0,35,2,3,3,0,3
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,109,165,-56,6,96,117,-21,5,67,139,-72,4,113,45,68,4,104,32,72,4,489,498,-9,1,1,0,1,23,,,,,,Bocage,Royal Ravens,,,O,,1,A,D,,,,O,,1,,D,X,,A,O,,1,,D,,1,B,O,X,1,A,D,X,,,O,,1,,D,X,,,,,6,,5,1,1,1,1,0,1,1,5,5,3,3,2,2,0,0,,,OpTic,11,6,5,54.55%,2,6,5,1,2,2,1,1,4,3,5,1,4,0,0,4,0,0,0,,,,,,Berlin,FaZe,1,X,,,D,3,1,X,X,5,O,13,1,X,,,D,8,,,,,,,,,,,,,3,24,5,,1,1,1,1,1,1,13,1,0,5,2,2,11,2,0,2,0,8,,OpTic,4,1,3,25.00%,2,0,2,1,0,0,0,15,0,0,6,2,1,1,10,0,1,1,0,8
Tuscan,FaZe,33,18,17,8,20,34,32,7,19,26,15,11,,,,240,12,,82,36,3,61,21,3,24,-29,2,27,-41,2,46,3,2,20.00,34,7,0,0,0,0,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,8,2,6,25.00%,4,4,1,3,2,0,2,1,0,0,4,1,3,2,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,5,2,3,40.00%,3,0,3,2,0,0,0,23,0,0,7,2,2,0,19,1,2,2,0,5
Tuscan,Royal Ravens,2,28,16,38,24,16,3,37,30,19,28,9,,,,250,,,46,-36,3,40,-21,3,53,29,2,68,41,2,43,-3,2,20.83,38,2,0,0,0,0,,,Mutineers,160,136,24,6,140,66,74,6,124,85,39,4,29,133,-104,4,45,58,-13,4,498,478,20,0,0,0,1,24,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,8,6,2,75.00%,4,4,4,0,3,3,1,1,2,2,4,2,2,1,1,2,1,1,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,85,36,49,3,43,65,-22,2,84,17,67,2,30,51,-21,2,8,70,-62,2,250,239,11,0,1,1,1,11,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,17,12,5,70.59%,8,9,6,3,4,3,3,2,5,4,8,6,2,4,3,2,1,2,1,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,5,3,2,60.00%,2,0,2,1,0,0,0,10,0,0,5,3,3,0,29,1,2,3,0,7
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,100,137,-37,5,108,55,53,4,97,105,-8,4,31,106,-75,4,31,87,-56,3,367,490,-123,0,2,1,0,20,,,,,,Berlin,Legion,1,B,D,X,1,B,O,X,1,A,D,X,,B,O,X,,B,D,,,,O,,,B,D,X,,,O,,,B,D,,,,,,,,,,3,,4,1,2,1,0,0,2,1,5,2,3,2,1,1,4,1,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Mutineers,,X,,3,O,2,,,,,D,5,,X,,4,O,0,,,,,,,,,,,,,0,7,7,,2,0,2,0,0,0,2,0,0,7,1,0,5,0,0,0,0,3,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Legion,12,4,41,52,19,29,27,0,50,16,,,,,,250,10,,41,10,2,31,-26,2,41,-10,2,102,99,2,35,0,2,25.00,52,0,2,1,0,1,,,Royal Ravens,50,92,-42,3,26,54,-28,2,101,9,92,2,28,69,-41,2,36,26,10,2,241,250,-9,1,1,1,0,11,,,,,,Berlin,Mutineers,,B,O,,,B,D,,,A,O,,1,B,D,,1,B,O,X,1,,D,X,1,B,O,,1,,D,X,1,B,O,X,,,,,,,,,6,,5,3,2,2,1,0,4,3,4,3,2,2,0,0,2,1,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Legion,1,,X,,D,11,1,X,X,3,O,15,1,,X,,D,9,,,,,,,,,,,,,3,35,3,,1,1,1,1,1,1,15,1,0,3,2,2,20,0,2,1,1,7,,Rokkr,5,2,3,40.00%,3,0,3,1,0,0,0,17,0,0,6,2,2,0,24,0,2,2,0,6
Tuscan,Mutineers,19,44,7,0,18,12,13,44,3,17,,,,,,177,,,31,-10,2,57,26,2,51,10,2,3,-99,2,35,0,2,17.70,44,0,0,1,2,1,,,Legion,119,163,-44,6,67,123,-56,5,79,128,-49,4,126,34,92,4,77,52,25,4,468,500,-32,0,1,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
