HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,Ultra,12,47,13,32,25,16,25,19,24,13,0,24,,,,250,12,,28,-30,3,96,85,3,32,-22,2,56,29,2,38,-10,2,20.83,47,0,0,1,0,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Bocage,Legion,7,0,28,6,14,10,9,26,21,34,41,2,,,,198,,,58,30,3,11,-85,3,54,22,2,27,-29,2,48,10,2,16.50,41,0,0,1,0,1,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,88,83,5,4,91,81,10,4,107,81,26,4,68,82,-14,4,62,58,4,4,416,385,31,0,1,0,1,20,,,,,,Tuscan,Ultra,,A,D,,,,O,X,1,,D,X,1,A,O,X,1,A,D,X,1,A,O,X,1,B,D,X,,,O,,1,,D,X,,,,,,,,,6,,4,2,3,2,2,2,0,0,5,4,4,4,2,1,1,1,,,Breach,17,5,12,29.41%,6,8,2,6,2,1,2,1,4,1,9,3,6,4,2,1,0,4,0,,,,,,Berlin,Legion,,X,,3,O,0,,,,,D,11,,X,,3,O,3,,,,,,,,,,,,,0,14,6,,2,0,2,0,0,0,3,0,0,6,1,0,11,0,0,0,0,6,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,30,58,-28,2,40,55,-15,2,29,68,-39,2,25,39,-14,2,11,30,-19,2,135,250,-115,0,1,0,0,10,,,,,,Tuscan,Legion,1,A,O,X,1,,D,,,,O,,,A,D,,,A,O,,,A,D,,,B,O,,1,,D,X,,,O,,,,,,,,,,3,,5,1,1,1,2,1,1,0,4,2,1,1,2,0,0,0,,,OpTic,21,11,10,52.38%,9,11,7,4,3,3,1,1,5,5,10,4,6,6,3,3,0,1,0,,,,,,Berlin,Ultra,1,,X,,D,3,1,X,X,6,O,19,1,,X,,D,7,,,,,,,,,,,,,3,29,6,,1,1,1,1,1,1,19,1,0,6,2,2,10,0,2,1,1,6,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Surge,8,28,20,45,0,10,40,29,37,6,6,11,10,,,250,13,,24,-13,3,79,6,3,59,28,3,82,69,2,6,-71,2,19.23,45,0,0,1,0,1,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,16,10,6,62.50%,11,8,6,2,5,4,2,2,4,4,8,4,4,6,4,0,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Mutineers,6,24,12,8,44,5,11,19,5,33,26,38,0,,,231,,,37,13,3,73,-6,3,31,-28,3,13,-69,2,77,71,2,17.77,44,0,0,1,0,1,,,Mutineers,36,106,-70,3,17,62,-45,2,65,37,28,2,43,18,25,2,31,27,4,2,192,250,-58,1,2,1,2,11,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,5,3,2,60.00%,2,0,2,2,0,0,0,12,0,0,7,3,3,0,46,1,3,3,0,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,53,30,23,2,41,36,5,2,52,39,13,2,57,29,28,2,47,32,15,2,250,166,84,0,0,0,1,10,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,11,6,5,54.55%,5,6,3,3,2,1,1,1,1,1,5,3,2,3,2,2,1,2,1,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Surge,1,,D,,,,O,X,,,D,,,,O,X,,A,D,,1,B,O,X,1,B,D,,1,A,O,X,,A,D,,,B,O,X,,,,,4,,5,2,5,2,1,1,2,1,5,2,0,0,2,0,1,1,,,Subliners,11,6,5,54.55%,7,5,3,2,2,2,1,1,0,0,6,3,3,5,3,1,0,1,0,,,,,,Tuscan,Mutineers,,X,,3,O,5,,,,,D,3,,X,,3,O,2,,,,,,,,,,,,,0,10,6,,2,0,2,0,0,0,7,0,0,6,1,0,3,0,0,0,0,6,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Surge,9,39,0,18,16,55,23,37,0,11,42,,,,,250,11,,106,70,3,62,45,2,37,-28,2,18,-25,2,27,-4,2,22.73,55,0,1,2,1,2,,,Royal Ravens,88,44,44,3,30,92,-62,3,25,66,-41,2,37,8,29,2,18,40,-22,2,198,250,-52,0,1,0,0,12,,,,,,Tuscan,Mutineers,,,O,X,1,,D,,1,,O,X,1,,D,,1,A,O,X,,B,D,,,B,O,X,,A,D,,1,A,O,X,1,B,D,,,,,,6,,5,3,5,3,2,2,1,0,5,3,0,0,1,0,2,1,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Surge,1,,X,,D,8,1,X,X,6,O,11,1,,X,,D,5,,,,,,,,,,,,,3,24,6,,1,1,1,1,1,1,11,1,0,6,2,2,13,0,2,2,0,6,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Mutineers,36,2,56,9,22,0,15,9,34,9,0,,,,,192,,,36,-70,3,17,-45,2,65,28,2,43,25,2,31,4,2,17.45,56,0,1,2,1,2,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,7,1,6,14.29%,1,3,1,2,1,1,1,1,0,0,4,0,4,0,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
