HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,Royal Ravens,40,33,32,35,22,49,11,0,28,,,,,,,250,9,,89,78,2,44,18,2,32,-40,2,63,55,2,22,9,1,27.78,49,0,0,1,1,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,Subliners,6,14,15,8,13,5,12,57,0,,,,,,,130,,,11,-78,2,26,-18,2,72,40,2,8,-55,2,13,-9,1,14.44,57,0,1,1,0,1,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,86,46,40,3,7,106,-99,3,52,40,12,2,25,32,-7,2,35,26,9,2,205,250,-45,1,2,1,1,12,,,,,,Desert Siege,Royal Ravens,1,,D,X,,,O,,1,,D,,,,O,,1,,D,X,1,B,O,,,A,D,,1,B,O,X,1,A,D,,,,,,,,,,6,,4,2,1,1,0,0,2,2,5,4,2,2,2,1,0,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Royal Ravens,1,X,X,6,O,4,1,,X,,D,9,,,,,O,17,,,,,D,2,,X,,3,O,5,2,37,9,,3,1,2,1,1,1,26,1,0,9,2,1,11,0,1,1,0,9,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,46,86,-40,3,106,7,99,3,40,52,-12,2,32,25,7,2,26,35,-9,2,250,205,45,1,1,1,2,12,,,,,,Desert Siege,Subliners,,,O,,1,,D,X,,,O,X,1,,D,X,,,O,,,B,D,X,1,A,O,X,,B,D,,,A,O,X,,,,,,,,,3,,5,1,3,1,2,1,0,0,4,2,3,2,0,0,2,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Subliners,,,,,D,1,,X,,3,O,2,1,X,X,,D,21,1,X,X,6,O,21,1,,X,,D,7,3,52,9,,2,1,2,1,1,1,23,1,0,9,3,2,29,1,2,2,0,9,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Royal Ravens,35,46,24,9,20,28,26,0,39,19,4,,,,,250,11,,67,48,3,72,59,2,24,-60,2,48,-5,2,39,-7,2,22.73,46,0,0,1,1,2,,,FaZe,28,59,-31,2,53,43,10,2,61,33,28,2,1,98,-97,2,18,17,1,1,161,250,-89,0,2,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,10,4,6,40.00%,4,5,3,2,1,1,2,2,1,1,5,1,4,3,1,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,5,2,3,40.00%,3,0,3,0,0,1,0,22,0,0,5,2,2,0,21,1,2,2,0,3
Tuscan,Subliners,6,0,27,42,22,13,13,57,11,24,0,,,,,215,,,19,-48,3,13,-59,2,84,60,2,53,5,2,46,7,2,19.55,57,0,1,2,0,1,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,8,2,6,25.00%,2,4,2,2,2,1,0,0,1,0,4,0,4,0,0,1,0,2,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,5,3,2,60.00%,3,1,2,1,0,1,1,25,0,1,5,2,2,0,17,0,2,2,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,49,42,7,2,46,32,14,2,64,44,20,2,55,15,40,2,36,10,26,2,250,143,107,0,0,0,1,10,,,,,,Desert Siege,Breach,1,A,D,X,1,B,O,X,1,A,D,,1,A,O,,1,B,D,X,,,O,,1,B,D,X,,,,,,,,,,,,,,,,,6,,3,2,1,1,1,1,1,1,4,4,3,3,2,2,2,2,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Breach,,X,,3,O,7,1,,X,,D,10,,X,,5,O,0,,,,,D,0,,,,,,,1,17,8,,2,0,2,0,0,0,7,0,0,8,2,1,10,0,1,1,0,8,,Subliners,5,3,2,60.00%,2,1,1,2,1,1,1,23,1,0,9,3,2,1,29,1,2,2,0,9
Gavutu,Breach,26,29,45,56,3,38,0,14,39,,,,,,,250,9,,64,41,2,29,-38,2,59,25,2,95,95,2,3,-32,1,27.78,56,0,1,1,0,3,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Surge,,A,O,,,B,D,,,A,O,X,,A,D,X,,B,O,,1,,D,X,,B,O,,,,,,,,,,,,,,,,,,1,,4,0,1,0,2,0,2,0,3,1,2,1,1,0,1,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Surge,1,,X,,D,15,,X,,3,O,8,1,,X,,D,9,1,X,,5,O,1,,,,,,,3,33,8,,2,1,2,1,0,0,9,0,1,8,2,2,24,0,2,1,1,8,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Surge,18,20,0,0,35,5,47,34,0,,,,,,,159,,,23,-41,2,67,38,2,34,-25,2,0,-95,2,35,32,1,17.67,47,0,0,3,1,1,,,Legion,49,141,-92,4,98,83,15,4,62,124,-62,4,35,67,-32,3,10,85,-75,3,254,500,-246,1,3,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,10,6,4,60.00%,6,5,4,1,2,2,1,1,2,2,5,2,3,4,2,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,10,5,5,50.00%,5,1,4,3,1,1,1,50,1,0,12,5,4,1,43,3,3,4,0,14
