HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,Legion,5,19,10,13,10,7,31,21,36,0,3,,,,,155,11,,15,-32,3,50,2,2,31,-17,2,49,17,2,10,-65,2,14.09,36,0,0,1,0,0,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Bocage,Breach,12,27,38,27,28,3,21,10,5,47,32,,,,,250,,,47,32,3,48,-2,2,48,17,2,32,-17,2,75,65,2,22.73,47,3,0,0,0,1,,,Breach,62,42,20,2,49,25,24,2,50,47,3,2,43,26,17,2,46,1,45,2,250,141,109,0,0,0,1,10,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Breach,1,,D,X,1,A,O,X,1,A,D,X,1,A,O,X,,B,D,X,,,O,X,1,,D,X,1,,O,,,,,,,,,,,,,,6,,4,3,3,2,2,2,0,0,4,3,4,3,1,1,1,0,,,Breach,8,6,2,75.00%,5,4,3,1,2,2,2,2,2,1,4,3,1,3,3,1,0,1,1,,,,,,Gavutu,Legion,,X,,4,O,8,1,,X,,D,4,,,,2,O,10,1,,X,,D,5,1,,X,,D,6,3,33,6,,2,0,1,0,0,0,18,0,0,6,3,3,15,0,3,3,0,10,,Breach,10,4,6,40.00%,6,0,6,4,0,0,0,33,0,0,17,4,4,0,31,1,4,4,0,14
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Legion,,,O,,,A,D,,,A,O,,,A,D,,1,B,O,,1,,D,,,,O,,,,D,X,,,,,,,,,,,,,2,,4,1,0,0,1,0,1,1,4,1,1,0,2,0,0,0,,,OpTic,9,6,3,66.67%,3,4,3,1,1,1,1,1,1,1,5,3,2,2,1,2,0,1,1,,,,,,Gavutu,Breach,1,,X,,D,5,,X,,3,O,7,1,X,X,,D,8,,1,,3,O,2,,X,,4,O,1,2,23,10,,3,0,2,0,0,0,10,0,0,10,2,2,13,1,2,2,0,6,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Legion,10,24,20,16,1,32,1,27,10,0,,,,,,141,10,,42,-20,2,25,-24,2,47,-3,2,26,-17,2,1,-45,2,14.10,32,0,0,1,0,0,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,10,4,6,40.00%,6,5,1,4,3,1,1,0,2,1,5,3,2,3,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,4,3,1,75.00%,2,1,1,1,1,0,0,26,0,1,6,2,2,0,29,2,2,2,0,2
Berlin,Breach,38,14,36,19,26,24,35,14,24,20,,,,,,250,,,62,20,2,49,24,2,50,3,2,43,17,2,46,45,2,25.00,38,14,0,0,0,1,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,8,2,6,25.00%,3,4,1,3,1,1,1,1,1,0,4,1,3,2,1,2,0,2,1,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,5,3,2,60.00%,2,0,2,2,0,0,0,18,0,0,8,3,3,0,36,1,3,3,0,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,10,6,4,60.00%,4,5,2,3,2,1,2,1,1,0,5,4,1,2,2,1,1,2,1,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,20,75,-55,2,27,54,-27,2,30,53,-23,2,42,41,1,2,19,27,-8,2,138,250,-112,0,0,0,0,10,,,,,,Berlin,Surge,1,B,D,,,A,O,,,,D,,,,O,,1,A,D,X,,,O,,1,,D,X,1,A,O,X,,B,D,,,B,O,X,,,,,4,,5,1,2,1,2,1,1,0,5,3,2,2,1,1,2,1,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Rokkr,,X,,3,O,9,,,,,D,0,1,X,X,5,O,13,1,,X,,D,13,,X,,3,O,3,2,38,11,,3,1,3,1,1,1,25,1,0,11,2,1,13,0,1,1,0,9,,Subliners,4,1,3,25.00%,2,0,2,0,0,0,0,18,0,0,2,2,1,1,13,1,1,1,0,6
Bocage,Surge,15,5,43,12,19,13,27,24,11,31,21,21,8,,,250,13,,49,4,3,53,12,3,75,31,3,23,-34,2,50,12,2,19.23,43,5,0,0,0,1,,,Royal Ravens,107,74,33,4,97,59,38,4,103,71,32,4,46,133,-87,4,56,51,5,4,409,388,21,0,1,1,0,20,,,,,,Berlin,Rokkr,,B,O,X,1,A,D,X,1,,O,X,1,,D,X,,A,O,,1,,D,X,,,O,,,A,D,,1,B,O,X,1,B,D,,,,,,6,,5,2,3,2,1,0,2,1,5,4,3,3,2,1,1,1,,,Rokkr,18,8,10,44.44%,8,9,3,6,4,3,2,0,5,2,9,5,4,4,4,4,1,2,1,,,,,,Tuscan,Surge,1,,X,,D,18,1,X,,5,O,8,,,,,D,9,,X,,4,O,7,1,,X,,D,10,3,52,9,,2,1,2,1,0,0,15,0,1,9,3,2,37,0,2,2,0,11,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Rokkr,7,26,0,18,26,20,6,22,39,12,18,9,22,,,225,,,45,-4,3,41,-12,3,44,-31,3,57,34,2,38,-12,2,17.31,39,0,0,1,0,0,,,Legion,42,62,-20,2,25,49,-24,2,47,50,-3,2,26,43,-17,2,1,46,-45,2,141,250,-109,0,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,19,11,8,57.89%,10,9,5,4,5,5,4,4,1,1,10,6,4,5,5,2,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,4,3,1,75.00%,2,1,1,1,1,0,0,31,0,1,5,2,2,0,6,0,2,2,0,7
