HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,Surge,5,21,10,20,18,26,43,32,38,27,10,,,,,250,11,,41,-12,3,64,45,2,42,0,2,58,19,2,45,20,2,22.73,43,5,0,0,0,0,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Bocage,Subliners,23,17,29,29,17,12,2,13,10,8,18,,,,,178,,,53,12,3,19,-45,2,42,0,2,39,-19,2,25,-20,2,16.18,29,2,0,0,0,0,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,144,108,36,6,22,189,-167,5,90,108,-18,5,85,55,30,4,84,33,51,4,425,493,-68,0,3,1,2,24,,,,,,Berlin,Surge,,A,D,X,1,A,O,,,B,D,X,1,A,O,X,1,,D,,1,B,O,,1,B,D,X,1,,O,X,,,,,,,,,,,,,6,,4,4,2,2,2,2,1,1,4,2,3,1,1,0,2,1,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Subliners,,X,,3,O,0,1,,X,,D,10,1,X,,5,O,7,,,,,D,0,1,,X,,D,7,3,24,8,,2,1,2,1,0,0,7,0,1,8,3,2,17,0,2,1,1,9,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,171,168,3,9,129,163,-34,6,144,142,2,6,173,76,97,6,79,104,-25,6,696,653,43,2,1,0,3,33,,,,,,Berlin,Subliners,1,A,O,,,A,D,X,1,B,O,,,A,D,,,,O,X,,B,D,X,,B,O,,,,D,,,,,,,,,,,,,,2,,4,2,1,0,1,1,2,1,4,0,2,0,2,0,1,0,,,OpTic,27,13,14,48.15%,10,14,9,5,6,6,1,1,6,3,13,4,9,4,3,6,1,2,2,,,,,,Berlin,Surge,1,,X,,D,7,,X,,3,O,0,,,,,D,0,1,X,,3,O,7,,X,,3,O,1,2,15,9,,3,1,3,1,0,0,8,0,1,9,2,1,7,0,1,0,1,8,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Surge,29,29,30,6,3,23,30,0,18,3,,,,,,171,10,,52,14,2,59,40,2,30,-34,2,24,-45,2,6,-54,2,17.10,30,0,0,1,0,0,,,FaZe,55,52,3,3,60,33,27,2,32,68,-36,2,47,49,-2,2,56,10,46,2,250,212,38,0,1,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,22,11,11,50.00%,11,10,6,4,4,4,3,2,3,1,12,5,7,7,4,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,3,0,3,0.00%,2,0,2,2,0,0,0,6,0,0,7,1,0,1,8,0,0,0,0,6
Gavutu,Subliners,13,12,19,42,26,25,7,45,27,34,,,,,,250,,,38,-14,2,19,-40,2,64,34,2,69,45,2,60,54,2,25.00,45,7,0,0,0,1,,,Mutineers,109,180,-71,6,115,71,44,5,105,95,10,5,73,91,-18,4,35,63,-28,4,437,500,-63,0,4,1,1,24,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,21,10,11,47.62%,6,11,6,5,3,2,1,0,8,5,10,4,6,3,2,6,2,3,2,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,3,3,0,100.00%,1,1,0,1,1,1,1,10,1,0,6,2,2,0,15,0,2,1,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,28,56,-28,2,48,42,6,2,24,71,-47,2,11,65,-54,2,24,16,8,1,135,250,-115,0,1,1,0,9,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,27,13,14,48.15%,11,14,9,5,7,6,7,5,3,3,13,4,9,4,3,4,0,3,1,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,50,77,-27,3,68,28,40,2,54,44,10,2,25,73,-48,2,31,28,3,2,228,250,-22,0,1,1,0,11,,,,,,Tuscan,Subliners,1,A,D,,1,B,O,,,A,D,X,1,A,O,,,B,D,,1,,O,X,,A,D,X,1,,O,X,,A,D,,,,O,,,A,D,X,5,,5,4,2,2,1,1,1,1,6,1,3,0,5,1,1,0,,,Subliners,8,2,6,25.00%,3,4,2,2,1,0,1,1,2,1,4,0,4,2,0,2,0,1,0,,,,,,Tuscan,FaZe,,X,,3,O,2,,,,,D,7,1,X,X,6,O,24,1,,X,,D,15,1,,X,,D,12,3,60,9,,2,1,2,1,1,1,26,1,0,9,3,2,34,0,2,1,1,13,,Subliners,3,3,0,100.00%,1,1,0,1,1,0,0,10,0,1,5,2,2,0,35,2,2,2,0,1
Bocage,Ultra,3,36,10,27,28,6,41,14,17,0,18,13,,,,213,12,,27,-31,3,90,49,3,24,-33,2,44,19,2,28,-41,2,17.75,41,0,0,1,0,1,,,Royal Ravens,56,28,28,2,42,48,-6,2,71,24,47,2,65,11,54,2,16,24,-8,1,250,135,115,1,0,0,1,9,,,,,,Tuscan,Surge,,A,O,X,,B,D,X,1,A,O,,,A,D,X,1,B,O,X,,,D,,1,A,O,,,,D,,1,A,O,X,1,,D,X,1,A,O,,6,,6,5,3,2,5,4,1,1,5,1,3,1,1,0,1,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Ultra,1,,X,,D,11,1,X,X,6,O,8,,,,,D,13,,X,,3,O,6,,X,,4,O,0,2,38,13,,3,1,3,1,1,1,14,1,0,13,2,1,24,0,1,1,0,9,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,FaZe,20,6,24,12,22,25,0,33,13,47,13,35,,,,250,,,58,31,3,41,-49,3,57,33,2,25,-19,2,69,41,2,20.83,47,0,0,1,0,1,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,3,0,3,0.00%,2,0,2,0,0,0,0,21,0,0,1,1,0,1,0,0,0,0,0,5
