HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Royal Ravens,0,26,27,31,6,36,12,19,39,28,0,23,,,,247,12,,36,-86,3,61,10,3,46,-1,2,70,53,2,34,21,2,20.58,39,0,0,2,1,0,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Berlin,Legion,47,4,20,12,12,21,22,27,5,1,54,25,,,,250,,,122,86,3,51,-10,3,47,1,2,17,-53,2,13,-21,2,20.83,54,1,1,0,0,2,,,Breach,78,17,61,2,19,64,-45,2,96,2,94,2,44,21,23,2,13,22,-9,1,250,126,124,1,0,0,3,9,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Royal Ravens,,,D,,,A,O,,1,,D,X,1,,O,X,1,A,D,,,,O,,,,D,,,,O,,,B,D,X,,,,,,,,,3,,4,1,1,1,1,0,0,0,5,2,2,1,1,1,1,0,,,Breach,8,6,2,75.00%,4,4,4,0,2,2,2,2,2,2,4,2,2,2,2,3,1,1,1,,,,,,Gavutu,Royal Ravens,1,X,X,6,O,19,1,X,X,,D,17,1,,X,5,O,8,,,,,,,,,,,,,3,44,11,,2,2,1,1,2,2,27,1,1,11,1,1,17,1,1,1,0,1,,Breach,5,2,3,40.00%,3,0,3,2,0,0,0,26,0,0,6,2,2,0,25,1,2,2,0,6
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,42,96,-54,3,56,67,-11,3,90,30,60,3,6,43,-37,2,56,10,46,2,250,246,4,0,0,0,2,13,,,,,,Tuscan,Legion,1,,O,X,1,A,D,X,,,O,,,,D,,,A,O,X,1,,D,X,1,,O,X,1,,D,X,1,B,O,,,,,,,,,,6,,5,3,3,2,1,0,1,1,4,3,3,3,1,1,0,0,,,OpTic,9,6,3,66.67%,7,5,3,2,3,2,0,0,4,3,4,3,1,4,3,1,0,0,0,,,,,,Gavutu,Legion,,,,,D,6,,,,1,O,13,,,,,D,0,,,,,,,,,,,,,0,19,1,,1,0,0,0,0,0,13,0,0,1,2,0,6,0,0,0,0,11,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Royal Ravens,33,22,8,39,35,0,24,34,17,26,12,,,,,250,11,,45,-41,3,46,-1,2,42,18,2,56,18,2,61,44,2,22.73,39,0,0,1,1,0,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,5,2,3,40.00%,3,0,3,2,0,0,0,17,0,0,8,2,2,0,34,2,2,2,0,4
Tuscan,Legion,17,25,19,8,4,55,22,5,30,13,14,,,,,212,,,86,41,3,47,1,2,24,-18,2,38,-18,2,17,-44,2,19.27,55,4,1,0,0,1,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,9,6,3,66.67%,5,5,3,2,2,2,1,1,0,0,4,3,1,3,2,1,1,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,9,3,6,33.33%,4,1,3,3,1,0,0,23,0,1,14,5,2,3,54,2,2,2,0,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,64,23,41,2,73,26,47,2,27,29,-2,2,53,0,53,1,33,1,32,1,250,79,171,2,0,0,2,8,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,9,3,6,33.33%,2,4,1,3,0,0,1,1,0,0,5,2,3,2,1,0,0,4,1,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,113,120,-7,5,131,75,56,5,32,186,-154,5,64,50,14,4,32,69,-37,3,372,500,-128,0,5,1,0,22,,,,,,Bocage,Legion,,A,D,,,A,O,,,A,D,,,A,O,,,,D,X,1,,O,X,1,,D,X,1,,O,X,,A,D,,,,,,,,,,3,,4,2,2,2,2,0,0,0,5,1,2,1,3,0,0,0,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,OpTic,1,X,X,3,O,8,,,,,D,9,,X,,3,O,3,1,,X,,D,9,1,,X,,D,5,3,34,6,,2,1,2,1,1,1,11,1,0,6,3,2,23,0,2,1,1,13,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,OpTic,1,8,21,32,0,6,20,45,4,31,25,10,4,,,207,13,,32,-3,3,38,-35,3,70,36,3,36,-24,2,31,-17,2,15.92,45,0,0,1,0,1,,,Royal Ravens,36,122,-86,3,61,51,10,3,46,47,-1,2,70,17,53,2,34,13,21,2,247,250,-3,0,2,1,0,12,,,,,,Bocage,Royal Ravens,1,A,O,X,1,A,D,X,1,A,O,X,1,A,D,X,1,,O,,,,D,,,,O,,,,D,,1,A,O,X,,,,,,,,,6,,5,4,3,3,3,3,0,0,4,2,2,2,2,2,0,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Surge,,,,,D,1,1,X,X,6,O,8,1,,X,,D,10,,X,,4,O,5,,X,,3,O,0,2,24,13,,3,1,3,1,1,1,13,1,0,13,2,1,11,0,1,1,0,6,,Rokkr,5,3,2,60.00%,2,0,2,0,0,0,0,26,0,0,4,3,3,0,46,1,3,3,0,8
Bocage,Surge,15,24,23,13,44,13,18,0,47,4,7,31,11,,,250,,,35,3,3,73,35,3,34,-36,3,60,24,2,48,17,2,19.23,47,0,0,1,0,1,,,Legion,145,100,45,5,77,134,-57,5,76,73,3,4,17,123,-106,3,14,67,-53,3,329,497,-168,1,2,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,7,6,1,85.71%,4,3,1,2,2,3,3,59,2,1,17,3,3,0,45,2,3,3,0,7
