HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,Royal Ravens,28,43,0,50,11,40,2,1,2,,,,,,,177,9,,68,48,2,45,-1,2,1,-108,2,52,13,2,11,-25,1,19.67,50,0,1,1,2,2,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,Mutineers,14,0,59,0,36,6,46,50,39,,,,,,,250,,,20,-48,2,46,1,2,109,108,2,39,-13,2,36,25,1,27.78,59,0,2,2,1,1,,,Breach,126,151,-25,6,108,69,39,5,121,84,37,5,67,104,-37,4,23,92,-69,4,445,500,-55,1,3,1,0,24,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,222,108,114,8,125,98,27,6,170,119,51,6,94,112,-18,6,95,87,8,6,706,524,182,1,1,1,4,32,,,,,,Tuscan,Royal Ravens,1,A,D,X,1,B,O,X,1,,D,,1,A,O,,,A,D,X,,,O,X,,A,D,,,A,O,X,,A,D,,,,O,,,,,,4,,5,2,3,1,2,1,1,1,5,2,2,1,4,1,0,0,,,Breach,27,14,13,51.85%,15,13,7,6,7,6,1,0,7,5,14,7,7,8,5,3,1,4,1,,,,,,Gavutu,Royal Ravens,,,X,5,O,0,1,X,X,,D,12,,,,2,O,11,1,X,X,,D,18,,,,,D,3,2,44,7,,2,0,0,0,1,0,11,0,0,7,3,2,33,2,2,2,0,10,,Breach,3,0,3,0.00%,2,0,2,0,0,0,0,15,0,0,3,1,0,1,0,0,0,0,0,5
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,78,123,-45,5,64,99,-35,4,64,134,-70,4,56,81,-25,4,37,63,-26,4,299,500,-201,0,4,1,0,21,,,,,,Tuscan,Mutineers,,A,O,,,B,D,,,,O,X,,A,D,X,1,A,O,,1,,D,,1,A,O,X,1,A,D,,1,A,O,X,1,,D,X,,,,,6,,5,3,3,2,4,3,0,0,5,3,2,1,2,1,1,0,,,OpTic,7,1,6,14.29%,3,3,0,3,1,0,0,0,2,0,4,1,3,2,1,3,0,1,1,,,,,,Gavutu,Mutineers,1,X,,,D,3,,,,2,O,10,1,X,X,,D,18,,,,2,O,9,1,X,X,6,O,14,3,54,10,,3,1,1,1,1,1,33,1,0,10,2,2,21,2,1,1,1,7,,OpTic,4,3,1,75.00%,2,1,1,1,1,1,1,24,1,0,9,2,2,0,37,2,2,2,0,2
Gavutu,Breach,25,7,31,56,30,22,0,41,38,,,,,,,250,9,,47,10,2,7,-83,2,72,48,2,94,94,2,30,1,1,27.78,56,0,1,1,0,3,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Guerrillas,13,41,24,0,29,24,49,0,0,,,,,,,180,,,37,-10,2,90,83,2,24,-48,2,0,-94,2,29,-1,1,20.00,49,0,0,3,1,1,,,Mutineers,180,205,-25,9,117,120,-3,6,181,106,75,6,144,124,20,6,80,107,-27,6,702,662,40,2,0,1,4,33,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,21,10,11,47.62%,10,11,5,6,5,4,4,3,3,2,10,5,5,5,4,2,2,2,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,14,8,6,57.14%,7,2,5,5,2,1,1,35,1,1,23,7,6,1,84,2,6,6,0,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,49,53,-4,3,58,38,20,2,65,31,34,2,36,44,-8,2,42,22,20,2,250,188,62,0,0,0,1,11,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,17,10,7,58.82%,7,9,5,4,3,3,5,4,1,0,8,5,3,4,4,0,0,4,3,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,17,10,7,58.82%,8,2,6,3,2,1,1,83,1,1,21,9,8,1,94,6,7,6,2,26
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,21,97,-76,3,26,52,-26,2,26,73,-47,2,39,14,25,2,51,14,37,2,163,250,-87,0,1,0,0,11,,,,,,Berlin,Breach,1,B,D,,,A,O,X,1,,D,X,1,B,O,X,1,,D,X,,,O,,,,D,X,1,B,O,X,1,,D,,,,,,,,,,6,,4,2,3,2,1,0,2,2,5,4,3,2,0,0,1,1,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Breach,,,,,O,9,1,,X,,D,4,,X,,4,O,0,1,,X,,D,7,1,X,X,6,O,11,3,31,10,,3,1,2,1,1,1,20,1,0,10,2,2,11,0,2,1,1,9,,Subliners,5,2,3,40.00%,3,1,2,2,1,0,0,21,0,1,8,2,1,1,5,0,1,1,0,9
Gavutu,Subliners,18,8,46,33,0,23,17,1,0,,,,,,,146,9,,41,-10,2,25,-27,2,47,-7,2,33,-2,2,0,-58,1,16.22,46,0,0,2,2,0,,,Royal Ravens,145,123,22,6,117,79,38,5,91,107,-16,4,36,91,-55,4,82,48,34,4,471,448,23,0,3,1,1,23,,,,,,Berlin,Guerrillas,,B,O,X,1,A,D,,,,O,,,B,D,,,,O,,1,,D,X,1,,O,,,B,D,,,,O,X,,,,,,,,,3,,5,1,2,0,0,0,1,0,4,2,1,1,1,1,2,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Guerrillas,1,X,X,,D,17,,X,,4,O,6,1,,X,,D,3,,X,,5,O,0,,,,,D,10,2,36,9,,2,0,2,0,0,0,6,0,0,9,3,2,30,1,2,1,1,10,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,FaZe,19,36,4,19,58,32,16,50,16,,,,,,,250,,,51,10,2,52,27,2,54,7,2,35,2,2,58,58,1,27.78,58,4,2,0,0,2,,,Legion,41,86,-45,3,58,41,17,2,50,56,-6,2,18,34,-16,2,31,33,-2,2,198,250,-52,1,1,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,15,6,9,40.00%,8,2,6,4,2,1,0,49,0,2,26,7,4,3,59,2,4,4,0,28
