HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,Thieves,34,3,34,56,26,47,31,19,,,,,,,,250,8,,81,73,2,34,0,2,53,41,2,56,56,1,26,23,1,31.25,56,3,1,0,0,2,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,Legion,5,29,12,0,3,3,5,0,,,,,,,,57,,,8,-73,2,34,0,2,12,-41,2,0,-56,1,3,-23,1,7.13,29,0,0,2,1,0,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Thieves,1,B,D,X,,B,O,,1,,D,,1,B,O,X,,,D,,,,O,X,,,D,,,A,O,,,B,D,,,,,,,,,,3,,4,1,2,1,1,0,2,1,5,2,1,1,0,0,2,1,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Thieves,,X,,5,O,0,1,X,X,,D,16,,X,,2,O,9,1,X,X,,D,22,1,X,X,,D,14,3,61,7,,2,0,2,0,0,0,9,0,0,7,3,3,52,3,3,3,0,3,,Breach,8,2,6,25.00%,5,1,4,4,1,1,1,24,1,0,17,3,1,2,20,0,1,1,0,15
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Legion,,B,O,,1,B,D,X,,,O,X,,B,D,,1,,O,X,1,,D,,1,,O,X,1,A,D,X,1,B,O,X,,,,,,,,,6,,5,3,4,3,0,0,2,1,4,3,2,2,1,1,2,1,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Legion,1,,X,,D,1,,,,1,O,18,1,,X,,D,7,,,,,O,18,,,,2,O,11,2,55,3,,3,0,0,0,0,0,47,0,0,3,2,2,8,0,2,1,1,7,,OpTic,3,3,0,100.00%,1,1,0,1,1,1,1,17,1,0,5,2,2,0,16,0,2,1,1,6
Bocage,Thieves,28,19,30,26,23,9,22,5,1,47,22,18,,,,250,12,,59,38,3,59,10,3,35,-15,2,27,-25,2,70,62,2,20.83,47,1,0,0,0,1,,,FaZe,58,58,0,3,50,34,16,2,12,78,-66,2,92,2,90,2,38,17,21,2,250,189,61,1,1,1,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,9,3,6,33.33%,3,4,1,3,2,1,1,0,2,1,5,2,3,1,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,5,3,2,60.00%,2,0,2,2,0,0,0,9,0,0,7,3,3,0,52,3,3,3,0,3
Bocage,Legion,2,29,10,14,8,10,18,40,38,0,9,2,,,,180,,,21,-38,3,49,-10,3,50,15,2,52,25,2,8,-62,2,15.00,40,0,0,1,0,0,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,5,2,3,40.00%,3,0,3,1,0,0,0,23,0,0,5,2,2,0,9,0,2,2,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,58,58,0,3,34,50,-16,2,78,12,66,2,2,92,-90,2,17,38,-21,2,189,250,-61,1,2,1,1,11,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,7,6,1,85.71%,5,3,3,0,2,2,1,1,1,1,4,3,1,3,3,2,2,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,87,58,29,3,68,39,29,3,25,71,-46,2,46,10,36,2,24,25,-1,2,250,203,47,0,0,0,1,12,,,,,,Tuscan,Rokkr,1,A,D,X,,,O,,,A,D,,1,A,O,X,,A,D,,1,B,O,,1,,D,X,,,O,X,1,A,D,X,,A,O,,,,O,,5,,6,2,2,1,2,1,1,1,5,3,3,3,4,2,0,0,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,FaZe,1,X,,5,O,4,1,,X,,D,16,,X,,3,O,8,1,,X,,D,8,,,,,,,3,36,8,,2,1,2,1,0,0,12,0,1,8,2,2,24,0,2,2,0,8,,Subliners,10,6,4,60.00%,4,1,3,4,1,1,1,36,1,0,16,6,5,1,58,2,5,5,0,16
Tuscan,FaZe,34,39,0,51,8,56,16,13,26,7,,,,,,250,10,,90,88,2,55,16,2,13,-39,2,77,56,2,15,-34,2,25.00,56,0,2,1,0,2,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,FaZe,,A,O,,1,,D,X,1,A,O,X,,A,D,,1,A,O,X,,B,D,X,,,O,,1,,D,,,A,O,,1,A,D,X,1,,D,X,6,,5,2,2,2,4,2,0,0,6,4,4,3,2,1,1,0,,,Rokkr,10,6,4,60.00%,5,5,3,2,3,3,3,3,0,0,5,3,2,2,2,1,1,2,1,,,,,,Tuscan,Rokkr,,,,,D,0,,X,,3,O,12,1,,X,,D,12,,X,,5,O,3,,,,,,,1,27,8,,2,0,2,0,0,0,15,0,0,8,2,1,12,0,1,1,0,8,,Rokkr,5,2,3,40.00%,3,0,3,3,0,0,0,9,0,0,11,2,2,0,13,0,2,2,0,6
Tuscan,Rokkr,2,5,46,0,38,0,34,6,21,11,,,,,,163,,,2,-88,2,39,-16,2,52,39,2,21,-56,2,49,34,2,16.30,46,0,0,2,2,1,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,7,1,6,14.29%,2,4,0,4,1,0,0,0,2,0,3,1,2,1,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,5,3,2,60.00%,2,0,2,1,0,0,0,24,0,0,3,3,3,0,50,3,3,3,0,3
